3.903|Student Seminar in Polymer Science and Technology|http://student.mit.edu/catalog/m3b.html#3.903
WGS.161|Gender and the Law in US History|http://student.mit.edu/catalog/mWGSa.html#WGS.161
11.168|Enabling Energy Efficiency: Practice and Innovation|http://student.mit.edu/catalog/m11a.html#11.168
11.165|Energy and Infrastructure Technologies|http://student.mit.edu/catalog/m11a.html#11.165
1.715|Environmental Data Analysis|http://student.mit.edu/catalog/m1c.html#1.715
11.164|Human Rights in Theory and Practice|http://student.mit.edu/catalog/m11a.html#11.164
ESD.911|Independent Study in Engineering Systems|http://student.mit.edu/catalog/mESDa.html#ESD.911
15.S22|Special Seminar in Management|http://student.mit.edu/catalog/m15c.html#15.S22
ESD.910|Research in Engineering Systems Division|http://student.mit.edu/catalog/mESDa.html#ESD.910
4.647|Technopolitics, Culture, Intervention|http://student.mit.edu/catalog/m4f.html#4.647
15.S21|Special Seminar in Management|http://student.mit.edu/catalog/m15c.html#15.S21
ESD.913|Independent Study in Engineering Systems|http://student.mit.edu/catalog/mESDa.html#ESD.913
ESD.912|Independent Study in Engineering Systems|http://student.mit.edu/catalog/mESDa.html#ESD.912
15.S23|Special Seminar in Management|http://student.mit.edu/catalog/m15c.html#15.S23
14.30|Introduction to Statistical Method in Economics|http://student.mit.edu/catalog/m14a.html#14.30
NS.200|Naval Science Leadership Seminar|http://student.mit.edu/catalog/mNSa.html#NS.200
4.640|Advanced Study in Critical Theory of Architecture|http://student.mit.edu/catalog/m4f.html#4.640
14.32|Econometrics|http://student.mit.edu/catalog/m14a.html#14.32
NS.202|Seapower and Maritime Affairs|http://student.mit.edu/catalog/mNSa.html#NS.202
14.33|Research and Communication in Economics:  Topics, Methods, and Implementation|http://student.mit.edu/catalog/m14a.html#14.33
NS.201|Naval Weapons Systems|http://student.mit.edu/catalog/mNSa.html#NS.201
10.THU|Undergraduate Thesis|http://student.mit.edu/catalog/m10b.html#10.THU
24.S00|Special Subject: Philosophy|http://student.mit.edu/catalog/m24a.html#24.S00
21L.450|Leadership, Ethics, and Literature|http://student.mit.edu/catalog/m21La.html#21L.450
1.725|Chemicals in the Environment: Fate and Transport|http://student.mit.edu/catalog/m1c.html#1.725
CC.8012|Physics I|http://student.mit.edu/catalog/mCCa.html#CC.8012
18.112|Functions of a Complex Variable|http://student.mit.edu/catalog/m18a.html#18.112
21L.458|The Bible|http://student.mit.edu/catalog/m21La.html#21L.458
11.161|Energy Decisions, Markets, and Policies|http://student.mit.edu/catalog/m11a.html#11.161
22.105|Electromagnetic Interactions|http://student.mit.edu/catalog/m22b.html#22.105
8.01|Physics I|http://student.mit.edu/catalog/m8a.html#8.01
